　,,응답자수,여행정보를 얻기 어렵다,관광정보가 정확하지 않다,관광종사원이 불친절하다,안내표지판이 부정확하다,식당과 음식이 불결하다
[전체],,"3,916",12.8,4,6.1,5,2.2
거주지,일본권,304,21.2,5.9,7.7,5.5,3.2
,중국권,"2,249",10.7,3,5.9,3.8,2.1
,중화권,261,18.5,4,3.4,13.2,0.1
,동남아권,620,12.4,2.9,6.5,4.4,1
,북미권,83,17.2,3.2,0,7.1,22.2
,기타,399,14.6,9.6,8,6.4,1
성별,남자,"1,061",17.1,5.5,6.6,6.8,3.3
,여자,"2,855",11.3,3.4,5.9,4.3,1.7
연령,15세 - 20세,153,12.3,3.4,2.6,8.4,2.1
,21세 - 30세,"2,152",13.2,3.5,6.7,4,2.1
,31세 - 40세,"1,101",12,5,6.5,5.4,1.6
,41세 - 50세,293,10.5,2.6,3.8,6.8,1
,51세 - 60세,154,10.7,5.7,2.9,4.8,10.2
,61세 이상,63,32,4.8,2.5,14,1.7
방문목적,휴가 및 순수여행,"3,419",13.3,4.1,5.7,5.3,2.3
,비즈니스여행,136,14.6,3.9,7.1,0.6,1
,기타,360,8.3,2.7,8.7,3.3,1.8
여행형태,개별여행,"3,399",13.2,4,6.2,5.2,1.7
,완전 패키지여행,423,9.2,3.8,5.5,3.9,5.8
,부분 패키지여행,93,16.7,5.7,2.9,2,2.6
방문횟수,1회,"2,629",14.6,4.6,5.7,5.8,1.9
,2회,527,9.6,3.5,5,4.4,2.5
,3회,277,7.3,0.7,8.8,3,3.1
,4회 이상,483,9.9,2.7,7.4,2.5,2.5
