,,응답자수,렌터카,버스,택시,전세버스,시티투어버스,"자전거, 오토바이",친구 및 지인차량,기타
,,,,,,(여행사제공),,,,
[전체],,"3,916",15,20,34.7,12.9,2.1,0.1,7.1,8.1
거주지,일본권,304,9.5,15.9,55.2,6.3,1.9,0,2.2,9.1
,중국권,"2,249",12.9,16.7,39.6,7.5,2.2,0.2,10.6,10.3
,중화권,261,13.3,20.4,20.8,35.2,2.3,0,3.9,4.1
,동남아권,620,26.2,20.1,14.9,30.8,1.8,0,1.3,4.9
,북미권,83,25.9,20.8,22.9,18.4,1.5,0,5.6,4.9
,기타,399,12.3,40.7,33.6,4.8,1.7,0.2,2.9,3.8
성별,남자,"1,061",14,22.4,32,15.3,2.4,0.1,6.3,7.5
,여자,"2,855",15.3,19.1,35.7,12,1.9,0.2,7.4,8.4
연령,15세 - 20세,153,13.8,37.5,26.4,11.7,2.5,0,4.4,3.8
,21세 - 30세,"2,152",14.8,20.5,37.1,8,2.3,0.2,8.7,8.3
,31세 - 40세,"1,101",17.2,17.8,34.9,13.6,1.5,0.2,6.3,8.5
,41세 - 50세,293,12.5,16,30,29.5,1.7,0,2.6,7.6
,51세 - 60세,154,12.5,18.9,17.8,39.3,0.9,0,3.3,7.3
,61세 이상,63,3,18.5,31.2,29.9,4.9,0,3.1,9.4
방문목적,휴가 및 순수여행,"3,419",15.9,21,33.8,13,2.1,0.1,6.2,7.9
,비즈니스여행,136,9.1,13.4,33.4,28.2,2.7,0.9,4.1,8.2
,기타,360,8.7,12.7,43.3,6.7,1,0,17,10.6
여행형태,개별여행,"3,399",16.9,22.3,37.9,4.2,2,0.2,8.1,8.5
,완전 패키지여행,423,0,4.3,7.1,81,3,0,0,4.6
,부분 패키지여행,93,14.5,5.3,43,20.5,0.8,0,4.7,11.1
방문횟수,1회,"2,629",16.7,23.4,31.2,16.6,1.8,0,3.3,7
,2회,527,11.4,17.4,41.5,7,3.2,0.3,7.8,11.4
,3회,277,14.1,9.6,42,4.1,3.8,0.3,15.8,10.4
,4회 이상,483,10.3,10.2,41.8,4.5,1.1,0.4,22.1,9.5
,,,,,,,,,,
