Year,Total
1921,8000
1922,9676
1923,12021
1924,12468
1925,15193
1926,16762
1927,17451
1928,19980
1929,22190
1930,18651
1931,15780
1932,10370
1933,10111
1934,16161
1935,19933
1936,22199
1937,21987
1938,23043
1939,24390
1940,25373
1941,31846
1942,null
1943,null
1944,null
1945,null
1946,15000
1947,25000
1948,36397
1949,34386
1950,46593
1951,51565
1952,60539
1953,80346
1954,91289
1955,109798
1956,133815
1957,168829
1958,171588
1959,243216
1960,296517
1961,319807
1962,362145
1963,429140
1964,508870
1965,686314
1966,834732
1967,1124012
1968,1313706
1969,1526074
1970,1745904
1971,1817941
1972,2233627
1973,2622376
1974,2804394
1975,2818082
1976,3213249
1977,3413095
1978,3676967
1979,3966192
1980,3928789
1981,3928906
1982,4227733
1983,4356317
1984,4827884
1985,4843414
1986,5569067
1987,5770585
1988,6101483
1989,6488422
1990,6723531
1991,6518460
1992,6473669
1993,6070995
1994,6364674
1995,6546759
1996,6723141
1997,6761135
1998,6595790
1999,6741037
2000,6948595
2001,6303791
2002,6389058
2003,6380439
2004,6912094
2005,7416574
2006,7528106
2007,7496820
2008,6713436
2009,6420448
2010,6916894
2011,7174397
2012,7867143
2013,8003474
2014,8196342
2015,8563018
2016,8821802
2017,9277613
