연도별,구분,국내선 운항 (편),국내선 여객 (명),국내선 화물 (톤),국제선 운항 (편),국제선 여객 (명),국제선 화물 (톤)
2013,도착,59360,9189401,101731,5857,786052,5285
2013,출발,59379,9303369,120167,5848,776416,9733
2014,도착,64666,10449069,115674,8080,1137802,7935
2014,출발,64712,10491210,136759,8075,1119715,15061
2015,도착,72004,12115320,119277,7332,1006011,7391
2015,출발,72013,12128391,138337,7342,987840,13713
2016,도착,76731,13457016,122682,9585,1389577,10417
2016,출발,76840,13508463,140438,9587,1352308,17955
2017,도착,78774,14149048,121822,4868,644273,5745
2017,출발,78770,14178363,138479,4867,632679,9082
2018,도착,77873,13762677,115926,6283,963974,61299
2018,출발,77899,13793150,127934,6276,935504,62613
