,,,,,,,,,,,,
,표본수,총 통행중 출퇴근 및 통학비율,,최초 대중교통 접근시간,월평균 대중교통 이용비용,1주 평균 대중교통 이용횟수,목적통행 1회당 환승횟수분포,,,,통행소요시간 대비 환승시간,통행소요시간 대비 대기시간
,표본수,총 통행중 출퇴근 및 통학비율,,최초 대중교통 접근시간,월평균 대중교통 이용비용,1주 평균 대중교통 이용횟수,단일수단,,1회이상,,통행소요시간 대비 환승시간,통행소요시간 대비 대기시간
,명,명,%,분,원,회,명,%,명,%,분,분
전체,"16,020","4,832",30.2,6.88,"44,327",9.6,"12,774",79.7,"3,246",20.3,18.75,51.32
서울,500,172,34.4,5.09,"51,944",15.4,166,33.2,334,66.8,15.52,50.08
부산,300,70,23.3,6.25,"49,456",10.1,211,70.3,89,29.7,14.19,43.62
대구,300,98,32.7,7.67,"42,271",12.9,203,67.7,97,32.3,17.42,49.76
인천,300,109,36.3,6.24,"56,433",14.6,113,37.7,187,62.3,18.56,54.72
광주,250,117,46.8,5.42,"41,112",9.7,160,64,90,36,14.75,55.98
대전,250,80,32,7.4,"52,942",10,211,84.4,39,15.6,17.07,47.56
울산,200,20,10,5.74,"43,250",8.6,146,73,54,27,15.64,42.34
경기,"3,780","1,321",34.9,6.44,"50,206",12.5,"2,292",60.6,"1,488",39.4,17.38,52.26
강원,"1,360",368,27.1,6.56,"38,756",7.3,"1,309",96.3,5,3.8,19.7,46.19
충북,890,265,29.8,7.22,"48,296",8.3,813,91.3,7,8.7,20.28,50.99
충남,"1,310",365,27.9,8.13,"47,911",8.4,"1,181",90.2,12,9.8,21.03,50.68
전북,"1,180",373,31.6,7.96,"44,278",8,"1,049",88.9,131,11.1,21.58,58.98
전남,"1,520",340,22.4,7.08,"33,169",6.6,"1,394",91.7,12,8.3,19.57,64.26
경북,"1,880",511,27.2,7.12,"38,777",7.9,"1,779",94.6,10,5.4,20.93,51.18
경남,"1,800",556,30.9,6.38,"42,645",8.8,"1,578",87.7,222,12.3,16.92,40.98
제주,200,67,33.5,7.84,"34,622",8.8,169,84.5,31,15.5,16.72,44.37
